time,Ml,Ml_unc
1562260335,2.171808,0.284052
1562260358,1.802959,0.461462
1562260547,1.505276,0.311643
1562261620,5.930859,0.383002
1562261702,4.873779,0.223253
1562261752,4.555807,0.271109
1562261822,4.005949,0.228974
1562261835,4.257758,0.346844
1562261845,4.168245,0.176301
1562261875,3.99591,0.213034
1562261901,3.649473,0.222508
1562261928,3.653025,0.061133
1562261975,3.79204,0.316161
1562261991,3.992201,0.178062
1562261999,4.15043,0.241612
1562262018,4.456584,0.203683
1562262080,3.378883,0.158787
1562262142,3.127645,0.17263
1562262164,3.547279,0.445215
1562262174,3.178996,0.138676
1562262198,3.497926,0.357509
1562262210,3.5011,0.38119
1562262229,2.966548,0.082749
1562262264,3.24195,0.230005
1562262273,3.749258,0.085349
1562262306,3.188859,0.106696
1562262324,3.447553,0.125
1562262363,3.083859,0.182276
1562262410,3.019275,0.179877
1562262438,3.61595,0.25795
1562262451,3.550636,0.133152
1562262461,3.233158,0.159457
1562262475,3.539995,0.263765
1562262495,3.48252,0.159489
1562262536,2.532128,0.040109
1562262575,2.64298,0.126181
1562262648,2.568131,0.207342
1562262678,2.554247,0.20516
1562262697,3.5572,0.237913
1562262707,3.500378,0.257656
1562262762,3.083992,0.177969
1562262830,2.26375,0.207464
1562262899,2.609851,0.181422
1562263016,2.34831,0.232432
1562263051,2.832043,0.262297
1562263082,3.331105,0.170811
1562263189,2.289961,0.162112
1562263200,2.657204,0.253542
1562263240,2.68009,0.204333
1562263252,3.706311,0.650053
1562263261,2.71923,0.286848
1562263266,2.892251,0.485857
1562263284,3.524854,0.237166
1562263292,3.392299,0.255392
1562263357,2.485219,0.207458
1562263374,2.470395,0.161668
1562263398,2.764835,0.235082
1562263445,2.418968,0.181435
1562263468,2.433675,0.114687
1562263498,2.408985,0.20912
1562263526,3.529998,0.28824
1562263542,2.712752,0.201545
1562263560,4.660466,0.147664
1562263576,3.827217,0.206965
1562263629,3.714105,0.232477
1562263670,2.571093,0.227317
1562263695,2.438809,0.260288
1562263714,3.301947,0.176959
1562263725,3.499302,0.260481
1562263810,2.283536,0.203294
1562263824,2.879084,0.283257
1562263832,3.606055,0.268012
1562263883,2.569887,0.244263
1562263910,2.449196,0.213812
1562263937,2.089205,0.084616
1562263971,3.482952,0.344386
1562264021,2.503525,0.230633
1562264031,3.469555,0.49619
1562264105,2.777984,0.306582
1562264112,3.243555,0.198396
1562264165,1.949542,0.153849
1562264193,2.94625,0.238298
1562264216,3.113521,0.534219
1562264236,2.97734,0.225168
1562264276,2.336306,0.238656
1562264314,1.879777,0.206239
1562264325,3.351121,0.212075
1562264397,2.151603,0.379556
1562264420,2.378002,0.266828
1562264461,2.208166,0.223378
1562264486,2.643152,0.205115
1562264562,2.021383,0.154442
1562264626,2.192465,0.141071
1562264731,2.403213,0.189524
1562264764,3.24853,0.180861
1562264847,3.428558,0.298795
1562264866,3.898537,0.433373
1562264879,4.507096,0.243852
1562264924,3.965748,0.317509
1562265008,2.018945,0.139863
1562265066,1.921768,0.15575
1562265076,2.158982,0.180687
1562265088,2.40433,0.376886
1562265130,1.955101,0.163666
1562265163,2.118722,0.204331
1562265191,2.20798,0.205691
1562265227,2.016093,0.179858
1562265244,2.52751,0.174357
1562265289,2.453989,0.333965
1562265318,2.561112,0.172661
1562265343,2.268548,0.365246
1562265351,2.564945,0.198229
1562265411,2.669277,0.301011
1562265433,2.793497,0.569823
1562265451,2.957602,0.148684
1562265500,2.284333,0.217117
1562265515,2.911467,0.170167
1562265525,2.565798,0.352542
1562265548,4.96335,0.757413
1562265572,2.901832,0.861368
1562265584,4.579648,0.151888
1562265632,4.429291,0.283156
1562265656,3.198863,0.276686
1562265674,3.238731,0.214621
1562265798,2.20172,0.172183
1562265849,2.128947,0.293369
1562265858,3.477085,0.229013
1562265865,3.002566,0.1733
1562265942,2.00974,0.304853
1562265997,2.015089,0.235674
1562266020,4.97574,0.373875
1562266026,4.484175,0.307006
1562266042,4.433222,0.304119
1562266124,2.826279,0.339694
1562266192,2.364744,0.235178
1562266208,2.901574,0.130814
1562266226,3.506043,0.671072
1562266247,2.853362,0.164471
1562266287,2.586688,0.199635
1562266334,2.767485,0.278606
1562266360,1.977591,0.495178
1562266376,2.676457,0.213698
1562266382,2.880128,0.301499
1562266392,4.070328,0.115751
1562266408,3.282009,0.222664
1562266446,2.742664,0.603767
1562266454,4.130913,0.224856
1562266499,2.895235,0.178198
1562266527,2.977347,0.237652
1562266555,5.097736,0.43734
1562266566,4.680894,0.200427
1562266577,4.394876,0.305989
1562266635,3.450014,0.520338
1562266662,3.253564,0.145466
1562266688,2.841282,0.168154
1562266715,2.846872,0.224472
1562266778,2.36148,0.193469
1562266794,2.611639,0.288713
1562266810,3.581114,0.318576
1562266858,2.396327,0.156004
1562266871,3.059041,0.170354
1562266887,2.815076,0.177984
1562266945,2.529221,0.184292
1562266964,2.650835,0.13338
1562267019,2.107859,0.169923
1562267076,1.65205,0.138427
1562267097,2.268347,0.255453
1562267134,1.920783,0.201624
1562267206,2.300118,0.100841
1562267257,1.845432,0.092879
1562267308,1.947677,0.260835
1562267357,2.219778,0.235635
1562267396,2.1974,0.32864
1562267420,3.34201,0.275397
1562267486,2.079982,0.282398
1562267513,2.137705,0.141206
1562267541,1.750027,0.220585
1562267562,2.2806,0.155712
1562267597,2.17788,0.180993
1562267621,1.720331,0.262234
1562267699,2.916704,0.29833
1562267747,1.938531,0.370762
1562267766,2.74185,0.155762
1562267817,2.535201,0.299157
1562267872,3.285527,0.079959
1562267875,3.304372,0.3122
1562267931,2.035867,0.331046
1562267966,1.784313,0.067074
1562268000,1.77321,0.227476
1562268024,2.476208,0.242987
1562268052,2.84352,0.261772
1562268080,4.677795,0.016056
1562268092,4.854064,0.274171
1562268188,2.714569,0.391858
1562268227,2.206777,0.201205
1562268240,2.192354,0.294247
1562268286,2.600687,0.176461
1562268344,1.744292,0.299902
1562268380,2.73817,0.208344
1562268418,2.341496,0.192845
1562268438,3.098997,0.360122
1562268553,1.876448,0.174899
1562268567,2.296087,0.325308
1562268712,1.864538,0.361817
1562268745,2.046288,0.427955
1562268769,1.92224,0.254139
1562268781,2.480146,0.337159
1562268801,2.315664,0.338715
1562268837,2.193421,0.428033
1562268848,2.423723,0.163362
1562268858,2.165621,0.182259
1562268892,1.955618,0.201886
1562268902,2.279901,0.265567
1562268969,1.920515,0.184355
1562268996,1.822784,0.124138
1562269030,1.640002,0.131896
1562269049,1.64869,0.26577
1562269103,1.807208,0.174701
1562269176,2.260595,0.292016
1562269189,2.614043,0.262171
1562269207,2.839349,0.207682
1562269229,2.603084,0.241147
1562269315,2.343574,0.196305
1562269348,2.192743,0.20461
1562269354,2.308746,0.271704
1562269377,2.20799,0.432075
1562269405,1.791833,0.108282
1562269413,2.089921,0.122114
1562269476,1.793241,0.134528
1562269483,2.16776,0.238543
1562269513,1.986068,0.187208
1562269568,1.807692,0.460906
1562269605,2.066198,0.138656
1562269659,2.052319,0.271265
1562269670,2.29051,0.231581
1562269722,2.008701,0.242387
1562269744,3.184583,0.145945
1562269867,2.23971,0.422974
1562269877,3.513863,0.096711
1562269933,2.727299,0.259802
1562269959,2.367275,0.31761
1562269998,2.500897,0.201953
1562270024,2.36736,0.26967
