year,month, day,hour,min,sec
2023,2,6,12,39,15.5061
2023,2,6,12,45,18.6871
2023,2,6,12,47,59.1986
2023,2,6,12,52,47.6782
2023,2,6,12,54,39.4306
2023,2,6,12,55,44.8154
2023,2,6,12,58,45.2869
2023,2,6,13,0,12.6985
2023,2,6,13,3,15.2974
2023,2,6,13,13,59.3096
2023,2,6,13,15,14.3694
2023,2,6,13,16,37.0598
2023,2,6,13,17,42.0262
2023,2,6,13,25,22.3917
2023,2,6,13,28,48.2188
2023,2,6,13,33,12.5455
2023,2,6,13,36,7.8011
2023,2,6,13,36,18.2025
2023,2,6,13,39,22.8086
2023,2,6,13,44,48.6378
2023,2,6,13,49,5.5786
2023,2,6,13,58,48.5646
2023,2,6,14,3,6.9236
2023,2,6,14,4,48.0911
2023,2,6,14,6,29.4071
2023,2,6,14,10,9.9811
2023,2,6,14,11,3.7371
2023,2,6,14,14,51.3214
2023,2,6,14,17,15.7779
2023,2,6,14,20,49.3057
2023,2,6,14,22,40.5733
2023,2,6,14,23,28.7681
2023,2,6,14,24,49.1544
2023,2,6,14,27,7.666
2023,2,6,14,27,43.1527
2023,2,6,14,29,56.6706
2023,2,6,14,33,5.2907
2023,2,6,14,37,53.7084
2023,2,6,14,40,3.126
2023,2,6,14,41,39.0319
2023,2,6,14,41,55.3224
2023,2,6,14,48,24.3454
2023,2,6,14,51,13.3044
2023,2,6,14,53,48.4552
2023,2,6,14,55,33.2702
2023,2,6,14,57,45.2543
2023,2,6,15,1,22.7825
2023,2,6,15,3,43.7151
2023,2,6,15,8,5.8201
2023,2,6,15,10,40.6153
2023,2,6,15,14,31.7655
2023,2,6,15,20,12.1731
2023,2,6,15,21,31.1565
2023,2,6,15,22,13.801
2023,2,6,15,23,51.1032
2023,2,6,15,27,14.1139
2023,2,6,15,32,5.5306
2023,2,6,15,33,31.1791
2023,2,6,15,38,3.5191
2023,2,6,15,39,33.1264
2023,2,6,15,39,59.9756
2023,2,6,15,44,6.0114
2023,2,6,15,48,1.7927
2023,2,6,15,49,46.2894
2023,2,6,15,51,19.6082
2023,2,6,15,52,42.2285
2023,2,6,15,54,4.2932
2023,2,6,15,57,24.9462
2023,2,6,15,58,46.8166
2023,2,6,15,59,24.5022
2023,2,6,16,2,12.6187
2023,2,6,16,4,21.4075
2023,2,6,16,6,41.1218
2023,2,6,16,7,47.4046
2023,2,6,16,10,37.4211
2023,2,6,16,12,57.0223
2023,2,6,16,15,6.1232
2023,2,6,16,21,44.9081
2023,2,6,16,22,44.1095
2023,2,6,16,24,59.7826
2023,2,6,16,26,38.1451
2023,2,6,16,28,8.1623
2023,2,6,16,32,10.4838
2023,2,6,16,32,10.9823
2023,2,6,16,35,15.574
2023,2,6,16,43,27.5302
2023,2,6,16,46,37.5213
2023,2,6,16,49,19.2522
2023,2,6,16,51,55.6894
2023,2,6,16,53,44.1179
2023,2,6,16,55,33.493
2023,2,6,17,1,17.1541
2023,2,6,17,4,41.7954
2023,2,6,17,5,48.9392
2023,2,6,17,11,47.3882
2023,2,6,17,16,16.0997
2023,2,6,17,17,42.0436
2023,2,6,17,19,6.739
2023,2,6,17,22,0.9011
2023,2,6,17,26,23.1786
2023,2,6,17,28,47.7074
2023,2,6,17,29,35.8879
2023,2,6,17,31,33.252
2023,2,6,17,33,1.2614
2023,2,6,17,35,9.5342
2023,2,6,17,39,19.0336
2023,2,6,17,40,35.1665
2023,2,6,17,44,36.1435
2023,2,6,17,46,48.6324
2023,2,6,17,48,57.4989
2023,2,6,17,51,30.5947
2023,2,6,17,54,32.1039
2023,2,6,17,56,37.6373
2023,2,6,18,1,40.6387
2023,2,6,18,2,44.0477
2023,2,6,18,3,53.3217
2023,2,6,18,5,0.7354
2023,2,6,18,10,27.8152
2023,2,6,18,15,27.323
